event_minute,mean_holding_ratio,median_holding_ratio,n
0,,,0
1,-0.010991068087760042,0.015556730140994868,20
2,0.13315630476214688,0.3761273872196365,30
3,0.11897272905364424,0.27780212426397105,31
4,0.135592417284427,0.41418933303305344,27
5,0.1455396465045447,0.2678754695340146,28
6,0.1366260276622045,0.17605038145124288,28
7,0.1562934421543199,0.22470910241621622,28
8,0.1741410469105291,0.28495167878304994,28
9,0.16187478407091457,0.239711653166308,28
10,0.15417931602209511,0.2442085164284805,27
11,0.1127972566342974,0.2720314588687707,27
12,0.07350642584910473,0.20426885457477617,29
13,0.0912212849105466,0.20886375530556037,29
14,0.12127652868818127,0.39359205596719793,27
15,0.10182556399408184,0.3113351855903542,28
16,0.09778220512931175,0.2428581644398088,29
17,0.10855896227684678,0.2483694674621324,29
18,0.11630237634807432,0.2166750411898733,30
19,0.1359573939416961,0.17429082097394982,31
20,0.14410043648467183,0.24733730666147272,30
21,0.15193570444929252,0.22487702777428387,30
22,0.14540845649482517,0.17377112448300366,31
23,0.16024054433356855,0.18956347285923092,31
24,0.15101938815210572,0.23812593311035835,30
25,0.15197872400171614,0.23225811255960688,30
26,0.15879148077674415,0.2389481510672272,29
27,0.1756845747138744,0.2952811211778991,29
28,0.17122299809966698,0.34940515029039276,28
29,0.16863872770048255,0.34195191231251376,28
30,0.17113437275775115,0.3021692067903181,28
31,0.17898056943128393,0.32680597780049303,27
32,0.15897934952516712,0.3149881056785601,29
33,0.1664680196535893,0.3292602552145748,28
34,0.17267818568096113,0.3337950778047595,27
35,0.1690046809094541,0.3183934623500958,28
36,0.18068848588732472,0.3509225510979277,28
37,0.1861733506385084,0.4440610714076047,27
38,0.18844132531280006,0.49405701487585757,27
39,0.184742350998852,0.43364080834575547,27
40,0.17277413975808537,0.43531933937904677,27
41,0.1762974471491169,0.414456335357605,27
42,0.16155210997617295,0.35960780757793875,28
43,0.14285917589228117,0.21869060926310846,30
44,0.14721540467399155,0.2747991537836627,30
45,0.13304243153575865,0.3120586611777766,30
46,0.13942487263822617,0.3173374372572734,30
47,0.12423852816499474,0.2970544394536273,30
48,0.13310494985455648,0.31226259395093336,30
49,0.13611099314175673,0.32261529851462833,30
50,0.13525377747398876,0.35198791394333223,30
51,0.13360091194330195,0.36916413070770454,30
52,0.13001481634078155,0.36189849822072806,30
53,0.1472423217131332,0.40846076389543684,29
54,0.13905315736643736,0.4017454269502612,29
55,0.144215098554832,0.4062056724873138,29
56,0.15105240260612302,0.4017454269502612,29
57,0.16013970909909053,0.4204577464167761,28
58,0.16108658446609922,0.4077121808537566,28
59,0.16629267472829398,0.4621319176003965,28
60,0.1373952354743682,0.4492834824728171,29
61,0.1453848335272539,0.45042533920539757,29
62,0.13669003342337077,0.42087295401280345,27
63,0.12571293648585583,0.3060217367628818,29
64,0.15549528126297005,0.38999292008774733,29
65,0.1727730230428498,0.3834190276254776,29
66,0.15253353435560865,0.2520883223719948,31
67,0.17523500919840101,0.3268974353262589,30
68,0.17865533081738644,0.34993471964675393,29
69,0.1270703621381859,0.30330552613800266,30
70,0.17743167190608727,0.3331205767608688,29
71,0.1398826252968896,0.30308463910081823,31
72,0.12374955215832015,0.2955631295189721,30
73,0.12057393450237718,0.2282143255470006,31
74,0.10453696073365357,0.27998845579884735,31
75,0.08639175317301423,0.20485503660186916,32
76,0.07383992624322047,0.21632380989001512,31
77,0.08108560771707282,0.18848959003192334,31
78,0.06735075936187875,0.1266531607510068,30
79,0.055936624049985055,0.11888814274982554,30
80,0.04467582940799398,0.13504866763625856,30
81,0.01666611015631036,0.04333299347033874,32
82,0.04105777347920699,0.08026545296573359,30
83,0.04395880567697742,0.05721264819543755,33
84,0.04964921726373188,0.14299390325837288,31
85,0.058753366877065394,0.137777467627149,32
86,0.04611820391716888,0.13577591845138132,33
87,0.07590628667963248,0.18787514383927645,32
88,0.079124561668358,0.062433651247258505,32
89,0.09463898727595182,0.08980984486241077,30
90,0.09539924527578338,0.08618498173704948,29
91,0.11442225534562814,0.016529049593977847,29
92,0.12629049741685325,0.277140139930604,26
93,0.13915993565973284,0.24902683637402714,27
94,0.12627786119861878,0.1793528175539397,27
95,0.13841011712938078,0.19128262778847463,28
96,0.1550428043143203,0.22368418634120935,28
97,0.1575816587206706,0.08967770821238419,32
98,0.1766152692981562,0.2148640012480379,30
99,0.16895098355962296,0.24010984132585295,30
100,0.1901892330956988,0.23151598647248745,30
101,0.18131926346707714,0.21959590118574612,30
102,0.16826318405672042,0.37663682962139006,29
103,0.172707156164145,0.4276544501203035,29
104,0.17135107087459084,0.4095454110375899,29
105,0.1762905819590304,0.38805234128947597,29
106,0.1641961832740364,0.3186390863797828,29
107,0.16686041472348648,0.3921350982895599,29
108,0.15455973614995472,0.30765303623532597,30
109,0.15526544754880278,0.32932079506789697,30
110,0.15001251711406516,0.25004750939342923,30
111,0.15384099987026312,0.23083047400412,30
112,0.1669410450561689,0.2837586017259668,30
113,0.1827806418998605,0.34195975967199976,30
114,0.19189615255563527,0.347996388907282,29
115,0.19453731019923767,0.29413741013956735,29
116,0.21965244360405387,0.47378147559604733,29
117,0.20454557996312464,0.2884552135707604,29
118,0.2240232307577565,0.44078137102629256,28
119,0.22544067211983299,0.37957677237236764,28
120,0.21698746305124283,0.36763793026995195,29
